parent_name,rank,attributed_co2e,quadrant,pqs_composite,eps_score,scvs_score,cccs_composite,cccs_partial_composite,cccs_rank,cccs_partial_rank,pct_per_yr,parent_intercept
LOWER COLORADO RIVER AUTHORITY,37,8428181.7420778,Talk-NA,,14.000000000000002,16.666666666666664,,15.275252316519468,,45.0,1.1086136433619531,0.013651956954518
NEBRASKA PUBLIC POWER DISTRICT,38,8312557.063999999,Talk-NA,,66.0,45.83333333333333,,54.999999999999964,,18.0,-2.4346724474942287,0.0453792433600327
TRI-STATE GENERATION & TRANSMISSION ASSOC INC,39,8262405.5084358,Talk-NA,,57.99999999999999,79.16666666666666,,67.76183783418705,,10.0,-1.955227535909858,0.0768747145723708
EAST KENTUCKY POWER COOPERATIVE INC,40,8158933.61,Talk-NA,,52.0,60.416666666666664,,56.050572402667484,,17.0,-1.5836636892669105,0.0575708326483793
OGE ENERGY CORP,41,7771285.9518,Quiet Achiever,4.0,98.0,14.583333333333334,24.12376835661824,37.80432074071253,20.0,28.0,-8.341914351144824,-0.009503683289743
OMAHA PUBLIC POWER DISTRICT,42,7767449.699999999,Talk-NA,,80.0,77.08333333333334,,78.52812659593164,,5.0,-3.7684647292491698,0.0763423935889927
REMC ASSETS LP,43,7716347.05,Talk-NA,,46.0,56.25,,50.867474873439505,,20.0,-0.7559031031390636,0.0510397831948162
TECO ENERGY INC,44,7516202.62,Talk-NA,,94.0,39.58333333333333,,60.99863386448365,,12.0,-6.426053714211331,-0.0337869206432484
PUGET HOLDINGS LLC,45,7340460.139574,Talk-NA,,16.0,66.66666666666666,,32.659863237109036,,33.0,0.8024622054603969,0.0667326539632568
UNS ENERGY CORP,46,7295955.46295952,Laggard,0.0,38.0,2.083333333333333,5.746679064281239,8.897565210026091,24.0,48.0,-0.3581128013763289,-0.0029500361061529
SEMINOLE ELECTRIC COOPERATIVE INC,47,6972461.42,Talk-NA,,48.0,20.833333333333336,,31.62277660168379,,34.0,-1.1715036964906835,0.0167641759792834
ARKANSAS ELECTRIC COOPERATIVE CORP,48,6779310.196795,Talk-NA,,84.0,37.5,,56.1248608016091,,16.0,-3.9922353028060305,0.0323635579803398
MARATHON PETROLEUM CORP,49,6633324.474,Greenwasher,54.0,40.0,,,,,,-0.4041619039132941,
EXXON MOBIL CORP,50,5979836.674,Greenwasher,58.0,32.0,,,,,,-0.2031308589132041,
