facility_id,year,facility_name,state,city,county,lat,lon,parent_name,ownership_share,co2_ghgrp_metric,attributed_co2_ghgrp_metric,co2_cems_metric,cems_n_oris_codes,gross_load_mwh,heat_input_mmbtu,has_cems,co2_ct_metric,n_ct_assets,mean_match_distance_km,has_ct,n_sources,is_clustered
1001172,2011,Bayside Power Station,FL,TAMPA,Hillsborough,27.9072,-82.4231,TECO ENERGY INC,1.0,2754508.14,2754508.14,2751682.795287,1.0,4657396.25,51039735.4,True,,,,False,2,False
1006983,2011,Baytown Energy Center,TX,BAYTOWN,Chambers,29.7731,-94.9019,CPN MANAGEMENT LP,1.0,1805862.956,1805862.956,1775238.1894713752,1.0,4128106.92,32927995.327,True,,,,False,2,True
1000550,2011,Bear Garden Generating Station,VA,New Canton,Buckingham,37.6961,-78.2848,DOMINION ENERGY INC,1.0,919772.946,919772.946,917816.03793135,1.0,2481129.95,16971407.456,True,,,,False,2,False
1000284,2011,Beatrice,NE,BEATRICE,Gage,40.3286,-96.8067,NEBRASKA PUBLIC POWER DISTRICT,1.0,62250.12,62250.12,62130.42082551,1.0,123252.58,1152318.149,True,,,,False,2,False
1001187,2011,Belews Creek,NC,BELEWS CREEK,Stokes,36.2811,-80.0603,DUKE ENERGY CORP,1.0,13600298.758,13600298.758,13489320.192244152,1.0,16976259.0,144926225.123,True,,,,False,2,False
1001011,2011,Belle River,MI,SAINT CLAIR HAVEN,Saint Clair,42.7748,-82.4945,DTE ENERGY CO,1.0,7921210.75,7921210.75,7858705.0998180285,1.0,8508774.96,83042481.99200001,True,,,,False,2,True
1001207,2011,Bellingham,MA,BELLINGHAM,Norfolk,42.0925,-71.4833,NEXTERA ENERGY INC,1.0,281061.504,281061.504,280772.59539601504,1.0,457917.88,5206216.674000001,True,,,,False,2,True
1006864,2011,Bellingham Power Generation LLC,MA,BELLINGHAM,Norfolk,42.1113,-71.4529,Vistra Corp,1.0,434504.74,434504.74,433494.64912083,1.0,703392.1399999999,8040722.092,True,,,,False,2,True
1000742,2011,Bergen,NJ,RIDGEFIELD,Bergen,40.8375,-74.0244,ARCLIGHT ENERGY PARTNERS FUND VII LP,1.0,2445085.074,2445085.074,2433327.798746595,1.0,3900589.13,45103636.112,True,,,,False,2,False
1000777,2011,Bethlehem Energy Center (Albany),NY,GLENMONT,Albany,42.5905,-73.7636,ARCLIGHT ENERGY PARTNERS FUND VII LP,1.0,1623610.332,1623610.332,1621935.46114302,1.0,2875888.94,30084600.685,True,,,,False,2,False
1000127,2011,Bethlehem Power Plant,PA,BETHLEHEM,Northampton,40.6175,-75.3147,CPN MANAGEMENT LP,1.0,1875348.888,1875348.888,1873394.19761307,1.0,4108849.3,34691668.391,True,,,,False,2,False
1001238,2011,Bethpage Energy Center,NY,HICKSVILLE,Nassau,40.7469,-73.4994,CPN MANAGEMENT LP,1.0,198207.316,198207.316,197839.41373078505,1.0,453868.93,3669719.69,True,,,,False,2,False
1001492,2011,Big Bend,FL,APOLLO BEACH,Hillsborough,27.7944,-82.4036,TECO ENERGY INC,1.0,10192966.81,10192966.81,10119099.623958375,1.0,10015588.5,108753943.55,True,,,,False,2,False
1007930,2011,Big Cajun 1,LA,JARREAU,Pointe Coupee,30.6736,-91.3525,CLECO CORPORATE HOLDINGS LLC,1.0,70006.992,70006.992,69694.798789455,1.0,106777.95,1292743.756,True,,,,False,2,False
1001016,2011,Big Cajun 2,LA,NEW ROADS,Pointe Coupee,30.7261,-91.3669,ENTERGY CORP,0.14,12461976.86,1744676.7604,12364157.05713558,1.0,13514688.9,129949858.697,True,,,,False,2,False
1001587,2011,Big Sandy,KY,LOUISA,Lawrence,38.1707,-82.6176,AMERICAN ELECTRIC POWER CO INC,1.0,5683595.988,5683595.988,5627920.277611186,1.0,6668608.99,59190372.789000005,True,,,,False,2,True
1000689,2011,Black Dog,MN,BURNSVILLE,Dakota,44.8108,-93.2501,XCEL ENERGY INC,1.0,1545780.304,1545780.304,1538353.127828895,1.0,1630493.38,17267504.728,True,,,,False,2,False
1000489,2011,Black Mountain Generating Station,AZ,Golden Valley,Mohave,35.0361,-114.1594,UNS ENERGY CORP,1.0,11462.808,11462.808,11451.185788080002,1.0,22028.9,212379.87,True,,,,False,2,False
1006657,2011,Blackstone Power Generation LLC,MA,BLACKSTONE,Worcester,42.0575,-71.5172,Vistra Corp,1.0,816014.876,816014.876,815171.86717272,1.0,1415408.36,15120371.909,True,,,,False,2,True
1000424,2011,Blue Lake Generating Plant,MN,SHAKOPEE,Scott,44.7855,-93.4315,XCEL ENERGY INC,1.0,61347.3,61347.3,59496.6940341,1.0,98677.24,1103556.063,True,,,,False,2,False
