cems_facility_id,year,co2_cems_metric,gross_load_mwh,heat_input_mmbtu,n_units
3,2011,7520129.221783125,12866375.5,104484527.525,9
3,2012,8540154.428008124,14132317.25,115981751.25,9
3,2013,8403989.657194186,13763712.0,114085378.05,9
3,2014,8204681.484640035,13835332.25,111834375.325,9
3,2015,7229735.99115069,11948203.0,98418115.925,9
3,2016,7471378.326397245,13249401.5,105554633.55,8
3,2017,6660305.7878355,12293364.5,96915175.7,8
3,2018,7281158.00567931,12707654.0,103039991.75,8
3,2019,7520617.94502225,12971220.25,106076031.3,8
3,2020,6211247.307747001,11671959.25,91895874.8,8
3,2021,6874101.827309625,12221921.0,97913749.0,8
3,2022,6884070.9513135,12334645.5,99645513.375,8
3,2023,4982676.9168667495,9909175.25,78038481.45,9
3,2024,5842541.809168875,14414544.75,102073149.15,9
7,2011,331355.53546725,0.0,3592234.8499999996,2
7,2012,198229.198466625,0.0,3087112.45,2
7,2013,192348.05418937502,0.0,2723753.575,2
7,2014,383821.015048125,0.0,4764704.65,2
7,2015,282865.068400875,0.0,4878547.15,2
7,2016,147086.19140631,0.0,2734769.4,2
7,2017,175746.704767125,0.0,3266577.975,2
7,2018,179552.209764375,0.0,3334501.4749999996,2
7,2019,159707.810044875,0.0,2962336.65,2
7,2020,47804.952721125,0.0,886757.55,2
7,2021,0.0,0.0,0.0,2
7,2022,1130.57930625,0.0,20971.0,2
8,2011,4950492.4941757955,5338346.0,53187047.675000004,5
8,2012,2938667.5282114954,3357289.25,31572418.975,5
8,2013,3363942.9614839046,3767034.75,36141519.4,5
8,2014,4667584.70280453,5669952.5,50147461.099999994,5
8,2015,4982908.2581136,5013091.0,53535298.65,5
8,2016,5570981.228391285,5909050.0,59853334.675000004,3
8,2017,4609194.192964844,4867554.25,49520149.5,3
8,2018,5646095.2482781345,5918760.75,60660426.925,3
8,2019,542931.827509755,538615.25,5833138.9,3
9,2011,0.0,43347.0,853101.449,1
9,2012,0.0,41035.9,643231.565,1
9,2013,0.0,35503.02,563368.359,1
9,2014,0.0,40140.9,644028.685,1
9,2015,0.0,24884.46,475689.507,1
9,2016,0.0,33326.29,560168.392,1
9,2017,0.0,19064.38,335226.663,1
9,2018,0.0,47145.3,792909.155,1
9,2019,0.0,40215.54,702149.178,1
9,2020,0.0,35364.37,672535.49,1
9,2021,0.0,31654.73,567476.404,1
9,2022,0.0,47450.37,851914.95,1
9,2023,0.0,48643.85,848564.499,1
9,2024,0.0,49985.92,835971.379,1
10,2011,2500353.09499698,2669537.5,27278682.349999998,11
10,2012,2220204.17930943,2270301.5,24244453.35,11
10,2013,2470243.2728592,2713508.25,26718924.175,11
10,2014,2690869.016504055,3078334.0,29359317.2,11
10,2015,2104959.1444906653,2455772.0,22802049.025000002,11
10,2016,957290.412402195,1422001.75,13549515.149999999,11
10,2017,539259.03007023,960466.0,9881313.3,11
