"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2020,227,225.25,5685,,0.024,0.001,4667.875,0.0593,2.394,0.0553,78516.75,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"2",2,"CS0AAN",2020,118,114,1390.25,,0.009,0.001,1697.475,0.0588,0.994,0.0574,28565.55,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"4",4,,2020,916,910,166714.5,,952.988,1.1014,164045.75,0.1019,227.051,0.2502,1598916.5,"Coal","Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator","Halogenated PAC Sorbent Injection","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"5",5,,2020,6464,6457.5,3212855,,312.551,0.026,3128656.7,0.103,1180.048,0.0789,30493727.225,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator","Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"6A",6,,2020,7748,7739.25,2064021.25,,4.298,0.001,851304.05,0.059,58.384,0.0088,14324807.775,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"6B",7,,2020,8305,8296.25,2156895.75,,4.672,0.001,925540.575,0.059,62.957,0.0085,15573971.8,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7A",8,,2020,7552,7543,2024823.25,,4.454,0.001,882251.175,0.059,62.246,0.0092,14845593.6,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7B",9,,2020,7571,7563.5,2039574.25,,4.486,0.001,888562.6,0.059,62.266,0.009,14951775.6,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gadsden",7,"1",11,"CS0BAN",2020,2653,2652.25,,619534.75,0.266,0.001,52695.925,0.0592,56.023,0.1263,886757.55,"Pipeline Natural Gas",,"Tangentially-fired",,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gadsden",7,"2",12,"CS0BAN",2020,0,0,,,,,,,,,,"Pipeline Natural Gas",,"Tangentially-fired",,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"TX","Copper Station",9,"CTG-1",90211,,2020,1334,1237.62,35364.37,,,,,,99.154,0.2962,672535.49,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection",,,"CSOSG2"
"AL","Greene County",10,"1",19,"CS0EBN",2020,4834,4823.25,540270.75,,1.572,0.001,311341.725,0.059,403.499,0.1357,5238860.65,"Pipeline Natural Gas",,"Cell burner boiler",,"Low NOx Cell Burner",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"2",20,"CS0EBN",2020,5911,5901,556690,,1.705,0.001,337625.925,0.059,401.278,0.1279,5681199.7,"Pipeline Natural Gas",,"Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT10",21,,2020,108,89,4720,,0.037,0.0024,4251.697,0.1295,2.567,0.0811,63731.45,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT2",22,,2020,144,118,6377,,0.051,0.0015,5875.8,0.1037,3.225,0.0749,87181.6,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT3",23,,2020,175,148,8081.5,,0.057,0.0013,7287.605,0.0897,3.799,0.0725,110423.15,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT4",24,,2020,143,120.75,6428.5,,0.047,0.0015,5799.405,0.1007,3.601,0.0835,87446.45,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT5",25,,2020,178,148.5,8086.5,,0.056,0.0012,7229.798,0.1202,3.536,0.0665,110587.6,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT6",26,,2020,73,58.25,2995.5,,0.036,0.0026,2866.994,0.1155,1.41,0.0706,41562.275,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT7",27,,2020,209,176.75,9528,,0.065,0.0013,8444.897,0.1323,6.063,0.0939,129732.15,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT8",28,,2020,67,52.5,2566.75,,0.033,0.0016,2457.796,0.1356,1.308,0.0776,35665.95,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT9",29,,2020,100,78.75,4033.25,,0.028,0.0015,3772.91,0.1272,1.891,0.0726,55358.95,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"1",30,"CS0CAN",2020,3188,3182.5,313835.25,,13.684,0.009,215636.829,0.059,180.195,0.0898,3637596.575,"Pipeline Natural Gas","Coal","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"2",31,"CS0CAN",2020,3569,3562.5,340441.75,,15.428,0.0092,236132.248,0.059,198.873,0.0906,3983322.45,"Pipeline Natural Gas","Coal","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Baghouse|Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"3",32,"CS0CBN",2020,3767,3760.5,392025.25,,18.477,0.0104,252615.812,0.059,231.223,0.0968,4261401.25,"Pipeline Natural Gas","Coal","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Baghouse|Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"4",33,"CS0CBN",2020,3709,3705.25,331825.75,,15.983,0.0109,209455.813,0.059,190.773,0.0966,3533357.9,"Pipeline Natural Gas","Coal","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"5",34,"MS5A, MS5B",2020,4096,4084.75,2780748.75,,696.507,0.0727,2918518,0.1014,1453.708,0.1029,28590069.525,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","Halogenated PAC Sorbent Injection|Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Colbert",47,"CCT1",88150,,2020,19,19,521,,0.277,0.0562,445.4,0.0617,1.53,0.4187,7137,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSOSG2, CSSO2G2"
"AL","Colbert",47,"CCT2",88151,,2020,19,19,541,,0.307,0.0798,468.5,0.0623,1.613,0.4297,7485.8,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSOSG2, CSSO2G2"
"AL","Colbert",47,"CCT3",88152,,2020,13,13,7,,0.138,0.5,44.8,0.081,0.174,0.631,553,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSOSG2, CSSO2G2"
"AL","Colbert",47,"CCT4",88153,,2020,16,16,431,,0.374,0.0943,394.9,0.0629,1.381,0.4364,6138.2,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSOSG2, CSSO2G2"
"AL","Colbert",47,"CCT5",88154,,2020,20,20,484,,0.222,0.0839,427.6,0.0623,1.461,0.4317,6916.1,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSOSG2, CSSO2G2"
"AL","Colbert",47,"CCT6",88155,,2020,18,18,500,,0.185,0.0562,425.4,0.0614,1.448,0.4189,6938.2,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSOSG2, CSSO2G2"
"AL","Colbert",47,"CCT7",88156,,2020,22,22,641,,0.069,0.0484,561.3,0.061,1.878,0.4149,9418,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSOSG2, CSSO2G2"
"AL","Colbert",47,"CCT8",88157,,2020,22,22,606,,0.171,0.1198,536.2,0.0643,1.813,0.4487,8838.7,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSOSG2, CSSO2G2"
"LA","Dolet Hills Power Station",51,"1",48,,2020,2323,2311.65,792668.73,,3107.023,0.7728,830981.316,0.109,1009.057,0.2697,7632777.63,"Coal",,"Dry bottom wall-fired boiler","Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Non-catalytic Reduction","Baghouse","Untreated PAC Sorbent Injection","ARP, CSOSG2, MATS"
"KY","Smith Generating Facility",54,"SCT1",50,,2020,187,156.12,14175.11,,0.099,0.0017,12397.017,0.0594,4.989,0.0699,207901.333,"Pipeline Natural Gas","Residual Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G1"
"KY","Smith Generating Facility",54,"SCT10",90542,,2020,1299,1123.9,66208.7,,0.192,0.001,38120.658,0.0591,3.964,0.0148,641456.337,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G1"
"KY","Smith Generating Facility",54,"SCT2",51,,2020,174,145.74,13136.82,,0.071,0.0013,10942.688,0.0592,6.436,0.0782,183815.037,"Pipeline Natural Gas","Residual Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G1"
