"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2019,1087,1083.25,29418,,1.027,0.0072,24237.998,0.0592,11.994,0.054,408262.775,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"2",2,"CS0AAN",2019,940,933.5,22827.25,,0.981,0.0076,21068.852,0.0592,11.077,0.0567,354911.65,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"4",4,,2019,3146,3133,541341,,3087.142,1.0348,573714.025,0.1029,719.934,0.2462,5591770.35,"Coal","Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator","Halogenated PAC Sorbent Injection","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"5",5,"MS5C, MS5D, MS5E",2019,7664,7651.5,4091981,,387.729,0.022,4146545.3,0.103,1382.662,0.0731,40414681.75,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator","Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"6A",6,,2019,8108,8093.75,2096662.75,,4.408,0.001,873109.625,0.059,59.49,0.0088,14691757.225,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"6B",7,,2019,8020,8008.75,2075636.25,,4.467,0.001,884796.475,0.059,55.36,0.008,14888423.725,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7A",8,,2019,7828,7822,2056052.5,,4.39,0.001,869631.925,0.059,59.147,0.0084,14633248.5,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7B",9,,2019,7849,7841.25,2057301.5,,4.528,0.001,896955.65,0.059,61.41,0.0085,15092975.325,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gadsden",7,"1",11,"CS0BAN",2019,8555,8553.75,,2037260,3.919,0.003,174217.425,0.0592,180.865,0.123,2931542.675,"Pipeline Natural Gas",,"Tangentially-fired",,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gadsden",7,"2",12,"CS0BAN",2019,100,99.75,,21773.5,0.042,0.003,1830.25,0.0594,1.83,0.1162,30793.975,"Pipeline Natural Gas",,"Tangentially-fired",,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gorgas",8,"10",13,"CS0DCN",2019,729,724.5,455893,,120.723,0.0487,502677.407,0.103,392.826,0.1707,4899392.45,"Coal","Diesel Oil","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","Halogenated PAC Sorbent Injection|Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSSO2G2, MATS"
"AL","Gorgas",8,"8",17,"CS0DCN",2019,78,77.25,6485,,1.926,0.044,8083.819,0.103,12.156,0.3227,78789.05,"Coal","Diesel Oil","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA","Electrostatic Precipitator|Baghouse","Halogenated PAC Sorbent Injection","ARP, CSNOX, CSSO2G2, MATS"
"AL","Gorgas",8,"9",18,"CS0DCN",2019,782,781.75,76237.25,,20.038,0.0478,87718.497,0.103,85.543,0.1824,854957.4,"Coal","Diesel Oil","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA","Electrostatic Precipitator|Baghouse","Halogenated PAC Sorbent Injection","ARP, CSNOX, CSSO2G2, MATS"
"TX","Copper Station",9,"CTG-1",90211,,2019,1350,1198.9,40215.54,,,,,,85.83,0.243,702149.178,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection",,,"CSOSG2"
"AL","Greene County",10,"1",19,"CS0EBN",2019,6686,6679.75,906846.5,,2.691,0.001,533016.225,0.059,774.848,0.1522,8969056.45,"Pipeline Natural Gas",,"Cell burner boiler",,"Low NOx Cell Burner",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"2",20,"CS0EBN",2019,7839,7830.25,923304.25,,2.755,0.001,545788.725,0.059,773.201,0.1456,9183974.5,"Pipeline Natural Gas",,"Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT10",21,,2019,129,108,5766.5,,0.107,0.0028,5179.304,0.1057,3.056,0.0789,77727.225,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
