"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2015,177,173.75,4906,,7.382,0.3703,3690.456,0.0809,5.795,0.2715,47638.925,"Coal, Pipeline Natural Gas","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator (Retired Jul 13, 2015)",,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Barry",3,"2",2,"CS0AAN",2015,218,213.5,6452,,7.47,0.3115,5585.871,0.0772,6.656,0.2366,79766.5,"Coal, Pipeline Natural Gas","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator (Retired Jul 13, 2015)",,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Barry",3,"3",3,"CS0AAN",2015,756,752.75,101892.25,,514.712,0.8352,120647.322,0.103,280.428,0.4691,1175890.275,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA (Retired Aug 24, 2015)|Selective Non-catalytic Reduction (Retired Aug 24, 2015)","Electrostatic Precipitator (Retired Aug 24, 2015)",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Barry",3,"4",4,,2015,7931,7911.25,1657559.5,,7840.915,0.9326,1751917.05,0.1029,3855.531,0.422,17075179.95,"Coal","Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Barry",3,"5",5,"MS5C, MS5D, MS5E",2015,5918,5907,3182460.5,,302.946,0.0224,3163064.175,0.103,1314.966,0.0871,30829063.475,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Barry",3,"6A",6,,2015,6905,6893.25,1769464,,3.681,0.001,729231.925,0.059,50.463,0.0088,12270640.4,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Barry",3,"6B",7,,2015,7227,7208.25,1837207.25,,3.85,0.001,762681.55,0.059,50.234,0.0091,12833606.65,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Barry",3,"7A",8,,2015,6666,6648.75,1701165.75,,3.58,0.001,709209.875,0.059,50.808,0.0096,11933889.05,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Barry",3,"7B",9,,2015,6953,6940.75,1687095.75,,3.652,0.001,723389.25,0.059,46.296,0.0083,12172440.7,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Gadsden",7,"1",11,"CS0BAN",2015,6291,6285.25,,1635705.75,256.137,0.1212,195273.627,0.0619,232.914,0.1389,3079482.1,"Coal, Pipeline Natural Gas","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,,"Electrostatic Precipitator",,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Gadsden",7,"2",12,"CS0BAN",2015,3222,3217.25,,847297,242.523,0.2328,116531.648,0.0645,154.768,0.163,1799065.05,"Coal, Pipeline Natural Gas","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,,"Electrostatic Precipitator",,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Gorgas",8,"10",13,"CS0DCN",2015,6460,6443.75,4177645.75,,701.813,0.0673,4567948.644,0.1029,4196.124,0.2004,44521967.3,"Coal","Diesel Oil","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Gorgas",8,"6",15,"CS0DAN",2015,204,198,7838.25,,88.651,1.5772,8946.946,0.1029,18.451,0.3442,87202.4,"Coal","Diesel Oil","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only) (Retired Aug 24, 2015)","Electrostatic Precipitator (Retired Aug 24, 2015)",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Gorgas",8,"7",16,"CS0DAN",2015,269,261.75,17497,,202.114,1.755,20518.854,0.1029,43.492,0.3784,199995.675,"Coal","Diesel Oil","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only) (Retired Aug 24, 2015)","Electrostatic Precipitator (Retired Aug 24, 2015)",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
