"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2018,969,966,31456,,2.194,0.0266,27113.161,0.0589,16.8,0.0705,457388.975,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"2",2,"CS0AAN",2018,1002,996.5,30676.25,,2.253,0.0246,27197.34,0.0589,16.761,0.0694,458812.7,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"4",4,,2018,6439,6429,979760.5,,4970.913,0.9227,1090138.425,0.1031,1193.851,0.2228,10597835.4,"Coal","Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator","Halogenated PAC Sorbent Injection","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"5",5,"MS5C, MS5D, MS5E",2018,6031,6015,3388899.25,,264.437,0.0253,3418954.3,0.1031,1095.209,0.068,33259292.325,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator","Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"6A",6,,2018,8311,8307.5,2135378,,4.447,0.001,880906.4,0.059,58.08,0.0081,14822994.375,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"6B",7,,2018,8240,8223.25,2101689.5,,4.464,0.001,884260.475,0.059,61.425,0.0088,14879424.5,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7A",8,,2018,7934,7924,2031148,,4.316,0.001,854957.9,0.059,59.25,0.0089,14386283.95,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7B",9,,2018,7842,7828.75,2008646.5,,4.254,0.001,842572.525,0.059,58.645,0.0089,14177959.525,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gadsden",7,"1",11,"CS0BAN",2018,7659,7655,,1837493.5,6.263,0.0049,158072.058,0.0592,157.485,0.1178,2662973.05,"Pipeline Natural Gas",,"Tangentially-fired",,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gadsden",7,"2",12,"CS0BAN",2018,1718,1717.75,,442547,1.73,0.0053,39850.317,0.0591,37.925,0.1124,671528.425,"Pipeline Natural Gas",,"Tangentially-fired",,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
