"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2023,575,571,16049.5,,0.068,0.001,13509.825,0.0592,7.514,0.0567,227316.475,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"2",2,"CS0AAN",2023,562,555.75,15528,,0.064,0.001,12757.45,0.0592,7.454,0.057,214656.475,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"4",4,,2023,6189,6182.75,601338,,1.974,0.001,391039.55,0.059,386.123,0.118,6580043.725,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"5",5,,2023,4089,4075.75,1975222.75,,262.975,0.0486,2031374.075,0.1028,717.121,0.0772,19798960.625,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator","Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"6A",6,,2023,6298,6286.75,1684541.5,,3.444,0.001,682204.65,0.059,47.513,0.0091,11479424.925,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"6B",7,,2023,6219,6211.75,1652615,,3.53,0.001,699252.4,0.059,48.013,0.009,11766302.425,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7A",8,,2023,6745,6733,1820861.5,,3.887,0.001,769979.675,0.059,53.65,0.0092,12956384.775,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7B",9,,2023,6790,6783.25,1859544,,3.981,0.001,788534.725,0.059,54.343,0.0087,13268643.825,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"8",91413,,2023,466,466,283475,,0.524,0.001,103807.2,0.059,3.751,0.0043,1746748.2,"Pipeline Natural Gas",,"Combined cycle (Started Jul 17, 2023)",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2, NSPS4T"
"TX","Copper Station",9,"CTG-1",90211,,2023,1545,1359.37,48643.85,,,,,,99.686,0.2218,848564.499,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection",,,"CSOSG2"
"AL","Greene County",10,"1",19,"CS0EBN",2023,5780,5774,771089.25,,2.208,0.001,437400.45,0.059,585.273,0.1376,7360103.925,"Pipeline Natural Gas",,"Cell burner boiler",,"Low NOx Cell Burner",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"2",20,"CS0EBN",2023,5237,5226.5,626765.75,,1.835,0.001,363541.6,0.059,492.581,0.1374,6117393.1,"Pipeline Natural Gas",,"Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT10",21,,2023,161,126.25,6693.25,,0.183,0.0036,6412.9,0.1353,3.795,0.0829,89045.075,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT2",22,,2023,245,210.25,12240.75,,0.052,0.0011,10284.009,0.1053,6.646,0.0844,156551.975,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT3",23,,2023,109,94.75,5479.25,,0.043,0.0015,4659.794,0.0849,3.075,0.087,70332.725,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT4",24,,2023,209,179,10610.75,,0.057,0.0012,8863.09,0.1062,6.131,0.0908,133692.475,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
