"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2016,531,524.5,11856,,1.084,0.016,10953.057,0.059,6.9,0.0677,184780.525,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Barry",3,"2",2,"CS0AAN",2016,532,528.5,11983,,1.122,0.0448,11196.12,0.0588,6.989,0.0674,188881.7,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Barry",3,"4",4,,2016,6739,6727.75,1188304.25,,5155.829,0.8308,1256080.625,0.1029,2478.187,0.4325,12242519.45,"Coal","Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator","Halogenated PAC Sorbent Injection (Began Feb 24, 2016)","ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Barry",3,"5",5,"MS5C, MS5D, MS5E",2016,6331,6324.5,3496492.25,,244.597,0.0177,3408860.15,0.1029,1370.506,0.0859,33224781.5,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator","Catalyst (gold, palladium, or other) used to oxidize mercury (Began Apr 16, 2016)","ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Barry",3,"6A",6,,2016,8426,8420.75,2195462.75,,4.544,0.001,900194.325,0.059,61.055,0.0084,15147521,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Barry",3,"6B",7,,2016,7822,7816,2032196.5,,4.277,0.001,847290.05,0.059,57.772,0.0085,14257306.925,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Barry",3,"7A",8,,2016,8179,8174,2141499.25,,4.507,0.001,892825.225,0.059,61.141,0.0085,15023511.85,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Barry",3,"7B",9,,2016,8414,8407.75,2171607.5,,4.586,0.001,908382.925,0.059,61.835,0.0083,15285330.6,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Gadsden",7,"1",11,"CS0BAN",2016,7194,7184.5,,1771332.25,7.865,0.0076,125080.282,0.059,114.877,0.1103,2109684.4,"Pipeline Natural Gas",,"Tangentially-fired",,,"Electrostatic Precipitator",,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Gadsden",7,"2",12,"CS0BAN",2016,2111,2106,,516249.25,2.42,0.0082,37054.444,0.059,35.76,0.1185,625085,"Pipeline Natural Gas",,"Tangentially-fired",,,"Electrostatic Precipitator",,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Gorgas",8,"10",13,"CS0DCN",2016,7134,7112.5,4466538.75,,1141.718,0.0625,4614275.367,0.1029,3771.712,0.1745,44973436.825,"Coal","Diesel Oil","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Baghouse (Began Mar 01, 2016)|Electrostatic Precipitator","Halogenated PAC Sorbent Injection (Began Mar 15, 2016)|Catalyst (gold, palladium, or other) used to oxidize mercury (Began Apr 16, 2016)","ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Gorgas",8,"8",17,"CS0DCN",2016,6981,6968.25,722960.75,,178.857,0.0523,765407.448,0.103,763.922,0.198,7460104.025,"Coal","Diesel Oil","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA","Electrostatic Precipitator|Baghouse (Began Mar 01, 2016)","Halogenated PAC Sorbent Injection (Began Mar 15, 2016)","ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Gorgas",8,"9",18,"CS0DCN",2016,7052,7031.5,719550.5,,168.54,0.0551,761271.046,0.103,777.516,0.2,7419793.825,"Coal","Diesel Oil","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA","Electrostatic Precipitator|Baghouse (Began Mar 01, 2016)","Halogenated PAC Sorbent Injection (Began Mar 15, 2016)","ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"TX","Copper Station",9,"CTG-1",90211,,2016,1002,909.97,33326.29,,0.168,0.001,,,65.537,0.2282,560168.392,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection",,,"CSNOX, CSNOXOS, CSSO2G2"
"AL","Greene County",10,"1",19,"CS0EBN",2016,4950,4926,591847,,2207.346,0.6784,412902.69,0.0766,603.43,0.1999,5255168.8,"Coal, Pipeline Natural Gas","Diesel Oil, Pipeline Natural Gas","Cell burner boiler",,"Low NOx Cell Burner","Electrostatic Precipitator (Retired Feb 27, 2016)",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Greene County",10,"2",20,"CS0EBN",2016,4734,4719,664642,,3575.834,1.0137,500929.586,0.0786,793.466,0.2316,6094774.6,"Coal, Pipeline Natural Gas","Diesel Oil","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator (Retired Apr 01, 2016)",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Greene County",10,"CT10",21,,2016,94,80,4915,,0.019,0.001,4132.498,0.1056,2.6,0.0816,64340.275,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Greene County",10,"CT2",22,,2016,266,238.5,14501.75,,0.059,0.001,12469.902,0.0791,8.023,0.084,195015.175,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Greene County",10,"CT3",23,,2016,512,431.75,24745.5,,0.113,0.001,22162.597,0.1025,11.466,0.0695,338910.525,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Greene County",10,"CT4",24,,2016,499,427.5,24893.75,,0.099,0.001,21349.392,0.1111,14.399,0.0871,331433.25,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Greene County",10,"CT5",25,,2016,379,331,20206.75,,0.079,0.001,16761.7,0.1132,8.822,0.0684,262037.075,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Greene County",10,"CT6",26,,2016,547,479.75,29042.75,,0.116,0.001,24750.181,0.0998,13.632,0.0711,386555.3,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Greene County",10,"CT7",27,,2016,261,219.75,13176.25,,0.053,0.001,11399.608,0.1246,7.085,0.0813,175795.875,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Greene County",10,"CT8",28,,2016,243,215,14343,,0.055,0.001,11771.395,0.1277,6.705,0.0729,184893.425,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","Greene County",10,"CT9",29,,2016,345,302.5,19688,,0.078,0.001,16602.198,0.1054,9.389,0.0729,260590.85,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSNOXOS, CSSO2G2"
"AL","E C Gaston",26,"1",30,"CS0CAN",2016,1505,1494,109451.75,,576.294,0.8384,92426.856,0.0739,124.617,0.1847,1223069.825,"Coal, Pipeline Natural Gas","Coal, Diesel Oil","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","E C Gaston",26,"2",31,"CS0CAN",2016,1842,1836.25,124338.25,,520.034,0.6099,100723.194,0.0701,125.922,0.1551,1395478.925,"Coal, Pipeline Natural Gas","Coal, Diesel Oil","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Baghouse|Electrostatic Precipitator",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","E C Gaston",26,"3",32,"CS0CBN",2016,1882,1874.25,148283.25,,554.633,0.4824,129858.31,0.0681,161.433,0.1455,1863498.925,"Coal, Pipeline Natural Gas","Coal, Diesel Oil","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Baghouse|Electrostatic Precipitator",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","E C Gaston",26,"4",33,"CS0CBN",2016,1110,1099.75,74777.25,,155.428,0.3188,58653.49,0.0644,65.521,0.1348,899472.475,"Coal, Pipeline Natural Gas","Coal, Diesel Oil","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","E C Gaston",26,"5",34,"MS5A, MS5B",2016,6010,5974.5,4238456,,1698.425,0.0804,4600074.875,0.1005,1860.88,0.0891,45211438.95,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Baghouse (Began Mar 18, 2016)|Electrostatic Precipitator","Halogenated PAC Sorbent Injection (Began Mar 24, 2016)|Catalyst (gold, palladium, or other) used to oxidize mercury (Began Apr 16, 2016)","ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
"AL","Colbert",47,"1",35,"CSCO14",2016,1931,1929.78,261407.86,,2169.086,1.4439,310977.518,0.104,654.915,0.4372,2997665.572,"Coal",,"Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSSO2G2, MATS"
"AL","Colbert",47,"2",36,"CSCO14",2016,1968,1967.17,248903.51,,2075.832,1.4452,297506.455,0.104,621.841,0.4348,2867810.656,"Coal",,"Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSSO2G2, MATS"
"AL","Colbert",47,"3",37,"CSCO14",2016,1360,1353.44,164958.68,,1374.567,1.4697,193856.816,0.104,390.444,0.422,1868680.717,"Coal",,"Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSSO2G2, MATS"
"AL","Colbert",47,"4",38,"CSCO14",2016,1021,1018.09,137013.82,,1083.09,1.4173,158672.2,0.104,310.208,0.4056,1529517.873,"Coal",,"Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSSO2G2, MATS"
"AL","Colbert",47,"5",39,,2016,0,0,,,,,,,,,,"Coal",,"Dry bottom wall-fired boiler",,"Selective Catalytic Reduction|Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSSO2G2, MATS"
"AL","Colbert",47,"CCT1",88150,,2016,20,20,534,,0.588,0.1505,467.6,0.0659,1.683,0.4674,7050.1,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSNOXOS, CSSO2G2"
"AL","Colbert",47,"CCT2",88151,,2016,19,19,481,,0.768,0.1583,442.6,0.0657,1.664,0.4723,6356,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSNOXOS, CSSO2G2"
"AL","Colbert",47,"CCT3",88152,,2016,19,19,546,,0.716,0.1584,487.6,0.0657,1.789,0.4724,7196.2,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSNOXOS, CSSO2G2"
"AL","Colbert",47,"CCT4",88153,,2016,20,20,533,,0.76,0.2005,499.2,0.068,1.841,0.4981,7326.2,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSNOXOS, CSSO2G2"
"AL","Colbert",47,"CCT5",88154,,2016,17,17,523,,0.762,0.2062,459.2,0.0682,1.715,0.5021,6645.9,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSNOXOS, CSSO2G2"
"AL","Colbert",47,"CCT6",88155,,2016,25,25,510,,1.091,0.2004,577.6,0.0679,2.202,0.4982,8165.5,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSNOXOS, CSSO2G2"
"AL","Colbert",47,"CCT7",88156,,2016,16,16,499,,0.61,0.2193,437.7,0.0684,1.596,0.5098,6512.2,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSNOXOS, CSSO2G2"
"AL","Colbert",47,"CCT8",88157,,2016,35,35,1185,,0.602,0.1007,980.8,0.0636,3.318,0.4363,15733.6,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSNOXOS, CSSO2G2"
"AL","Widows Creek",50,"7",46,,2016,0,0,,,,,,,,,,"Coal",,"Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator",,"ARP, CSNOX, CSSO2G2, MATS"
"AL","Widows Creek",50,"8",47,,2016,0,0,,,,,,,,,,"Coal",,"Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Wet Scrubber",,"ARP, CSNOX, CSSO2G2, MATS"
