"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2014,451,447.25,26924.75,,108.114,0.8025,25020.925,0.103,55.515,0.4365,243865.925,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"2",2,"CS0AAN",2014,471,468.5,26487.25,,135.118,0.8535,30381.827,0.103,70.396,0.4813,296123.225,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"3",3,"CS0AAN",2014,3891,3874,524650,,2778.553,0.9089,604624.109,0.103,1529.131,0.518,5893035.125,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"4",4,"MS4A, MS4B",2014,5411,5401.25,1438751.25,,7340.414,0.9931,1496027.7,0.103,1788.538,0.2592,14581194.1,"Coal","Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"5",5,"MS5C, MS5D, MS5E",2014,6342,6324.5,3610645.75,,310.553,0.019,3542863.825,0.103,1596.556,0.0952,34530846.8,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"6A",6,,2014,8054,8025.75,1976231,,4.17,0.001,825959.15,0.059,60.011,0.0099,13898369.225,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"6B",7,,2014,8202,8179.75,2150962.5,,4.314,0.001,854569.4,0.059,54.367,0.0085,14379861.55,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"7A",8,,2014,8132,8110.5,2096758,,4.202,0.001,832392.625,0.059,60.152,0.0096,14006534.6,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"7B",9,,2014,8248,8237.25,1983921.75,,4.202,0.001,832271.05,0.059,58.711,0.009,14004544.775,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Gadsden",7,"1",11,"CS0BAN",2014,6173,6165,,1672204.75,3028.758,2.1473,276508.593,0.0972,565.383,0.4001,2887223.825,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,,"Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
