"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2017,556,552.25,12915.25,,1.116,0.0152,11384.958,0.059,5.816,0.056,192058.875,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"2",2,"CS0AAN",2017,569,563.25,14038.25,,1.252,0.0162,12853.492,0.059,6.479,0.0542,216827.725,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"4",4,,2017,4985,4973,772728,,3956.582,0.9427,837130.75,0.1029,1199.5,0.2941,8159157.6,"Coal","Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator","Halogenated PAC Sorbent Injection","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"5",5,"MS5C, MS5D, MS5E",2017,5633,5621.5,2937099.75,,241.233,0.02,2923231.95,0.103,1083.263,0.0796,28491531.6,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator","Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"6A",6,,2017,8278,8272.25,2147496.75,,4.471,0.001,885585.85,0.059,59.957,0.0083,14901732.8,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"6B",7,,2017,8254,8249,2138222.5,,4.499,0.001,891208.425,0.059,65.184,0.009,14996239.825,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7A",8,,2017,8246,8239,2131897.5,,4.5,0.001,891390.925,0.059,60.677,0.0084,14999429.625,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7B",9,,2017,8304,8297.25,2138966.5,,4.488,0.001,888941.95,0.059,60.44,0.0083,14958197.65,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gadsden",7,"1",11,"CS0BAN",2017,6202,6193.75,,1512560.5,7.055,0.0066,127003.393,0.0591,118.562,0.1106,2141968.35,"Pipeline Natural Gas",,"Tangentially-fired",,,"Electrostatic Precipitator (Retired Jan 31, 2017)",,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gadsden",7,"2",12,"CS0BAN",2017,2863,2856.75,,758128.25,3.784,0.0077,66724.132,0.0591,68.369,0.1207,1124609.625,"Pipeline Natural Gas",,"Tangentially-fired",,,"Electrostatic Precipitator (Retired Jan 31, 2017)",,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gorgas",8,"10",13,"CS0DCN",2017,6503,6478.75,3816113.25,,1030.438,0.0523,3937617.431,0.103,2899.013,0.1598,38378358.05,"Coal","Diesel Oil","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","Halogenated PAC Sorbent Injection|Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Gorgas",8,"8",17,"CS0DCN",2017,2926,2915.5,315249,,81.806,0.0487,347757.218,0.103,413.736,0.2199,3389447.375,"Coal","Diesel Oil","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA","Electrostatic Precipitator|Baghouse","Halogenated PAC Sorbent Injection","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
