"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2024,601,596.25,17003.5,,0.07,0.001,13781.2,0.0592,7.365,0.0538,231913.3,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"2",2,"CS0AAN",2024,353,347.75,10054,,0.04,0.001,8003.175,0.0592,5.85,0.0753,134664.025,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"4",4,,2024,1666,1654.25,151746,,0.527,0.001,104315.675,0.059,94.791,0.1025,1755297.6,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"5",5,,2024,1913,1898.5,837475.75,,154.098,0.0359,889439.1,0.103,461.057,0.1207,8668987.15,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator","Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"6A",6,,2024,7821,7797.25,1997419.75,,4.153,0.001,822727.05,0.059,63.263,0.01,13843980.825,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"6B",7,,2024,7877,7865.5,2022760.75,,4.337,0.001,859141.125,0.059,58.802,0.0088,14456788.4,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7A",8,,2024,8150,8131.25,2194096,,4.648,0.001,920694.55,0.059,62.891,0.0087,15492472.65,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7B",9,,2024,8261,8249.25,2253149.75,,4.803,0.001,951401.9,0.059,71.331,0.0095,16009274.575,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"8",91413,,2024,8026,8014.25,4930839.25,,9.444,0.001,1870794.3,0.059,69.2,0.0049,31479770.625,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2, NSPS4T"
"TX","Copper Station",9,"CTG-1",90211,,2024,1555,1354.13,49985.92,,,,,,108.912,0.2476,835971.379,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection",,,"CSOSG2"
"AL","Greene County",10,"1",19,"CS0EBN",2024,6239,6236,732150.5,,2.109,0.001,417782.975,0.059,546.086,0.1352,7030062.075,"Pipeline Natural Gas",,"Cell burner boiler",,"Low NOx Cell Burner",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"2",20,"CS0EBN",2024,5915,5911.75,676554.75,,1.999,0.001,395949.925,0.059,527.469,0.137,6662610.95,"Pipeline Natural Gas",,"Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT10",21,,2024,500,432.5,26387.25,,0.227,0.0017,21958.201,0.11,13.163,0.0762,339096.15,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT2",22,,2024,444,395.5,25469.5,,0.173,0.0015,20947.19,0.0965,13.595,0.0829,324825.1,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT3",23,,2024,376,330,21127.75,,0.132,0.0014,17330.392,0.114,12.048,0.089,268443.65,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT4",24,,2024,295,258.75,15767,,0.111,0.0016,12934.097,0.113,9.215,0.091,200220.225,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT5",25,,2024,174,154.5,10114,,0.095,0.0018,8329.409,0.1327,6.214,0.0935,129935.4,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT6",26,,2024,418,378.5,24064.25,,0.172,0.0015,19400.702,0.0905,13.103,0.0847,305274.15,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT7",27,,2024,500,446.5,27883.25,,0.186,0.0014,23422.989,0.1015,15.639,0.0846,366716.25,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT8",28,,2024,349,306.75,18506,,0.238,0.0021,16255.684,0.1582,11.32,0.0884,252132.3,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT9",29,,2024,118,100.75,6162,,0.11,0.0042,5798.506,0.1477,3.673,0.0904,81471.75,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"1",30,"CS0CAN",2024,4440,4429.75,393249.5,,211.585,0.0999,259514.921,0.0615,256.711,0.1149,4210003,"Pipeline Natural Gas","Coal","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"2",31,"CS0CAN",2024,5303,5297,438494.5,,292.903,0.094,302975.929,0.0613,314.07,0.1161,4880157,"Pipeline Natural Gas","Coal","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Baghouse|Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"3",32,"CS0CBN",2024,3753,3746,399749.5,,205.456,0.1014,275316.244,0.0615,317.683,0.1317,4481477.425,"Pipeline Natural Gas","Coal","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Baghouse|Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"4",33,"CS0CBN",2024,3791,3781.25,314905,,237.342,0.1216,206880.131,0.0622,229.092,0.1284,3291611.125,"Pipeline Natural Gas","Coal","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"5",34,"MS5A, MS5B",2024,3111,3104,2053020.75,,457.887,0.0507,2097497.325,0.1007,1016.316,0.0977,20592921.4,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","Halogenated PAC Sorbent Injection|Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Colbert",47,"CCT1",88150,,2024,21,21,602,,0.616,0.1672,523.1,0.0663,1.714,0.436,7946.1,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSOSG2, CSSO2G2"
"AL","Colbert",47,"CCT10",91393,,2024,1963,1850.83,298373.46,,0.936,0.001,185366.417,0.059,44.979,0.0309,3119104.992,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Colbert",47,"CCT11",91394,,2024,1967,1854.62,299917.01,,0.935,0.001,185134.028,0.059,43.579,0.0298,3115219.299,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Colbert",47,"CCT2",88151,,2024,18,18,271,,0.162,0.056,237.2,0.0618,0.766,0.3933,3779,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSOSG2, CSSO2G2"
"AL","Colbert",47,"CCT3",88152,,2024,11,11,170,,0.168,0.1002,140.9,0.0634,0.462,0.4118,2137.9,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,,,,"CSNOX, CSOSG2, CSSO2G2"
