"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2022,1534,1525.25,56858.75,,0.202,0.001,40044.8,0.0592,28.55,0.0764,673806.675,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"2",2,"CS0AAN",2022,1634,1624.75,60632.5,,0.235,0.001,46560.375,0.0591,32.415,0.0746,783467.775,"Pipeline Natural Gas",,"Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"4",4,,2022,1433,1418.25,233958,,814.101,0.5593,206096.375,0.0795,255.035,0.1806,2552209.25,"Coal, Pipeline Natural Gas","Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator (Retired Nov 07, 2022)","Halogenated PAC Sorbent Injection (Retired Nov 07, 2022)","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"5",5,,2022,6632,6618.5,3677284.75,,517.369,0.048,3831452.8,0.1029,1380.353,0.0785,37343610.925,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator","Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
"AL","Barry",3,"6A",6,,2022,8213,8188.5,2108009.5,,4.299,0.001,851598.525,0.059,60.038,0.0093,14329753.8,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"6B",7,,2022,8271,8256.75,2112347.25,,4.473,0.001,885984.95,0.059,62.411,0.0093,14908474.3,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7A",8,,2022,8083,8067.25,2051143.5,,4.323,0.001,856323.6,0.059,60.649,0.0093,14409281.475,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Barry",3,"7B",9,,2022,7960,7933.25,2034411.25,,4.394,0.001,870325.675,0.059,62.429,0.0097,14644909.175,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gadsden",7,"1",11,"CS0BAN",2022,101,98,,13256,0.006,0.001,1246.25,0.0594,0.779,0.0577,20971,"Pipeline Natural Gas",,"Tangentially-fired",,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Gadsden",7,"2",12,"CS0BAN",2022,0,0,,,,,,,,,,"Pipeline Natural Gas",,"Tangentially-fired",,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"TX","Copper Station",9,"CTG-1",90211,,2022,1635,1481.26,47450.37,,,,,,88.293,0.2068,851914.95,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection",,,"CSOSG2"
"AL","Greene County",10,"1",19,"CS0EBN",2022,6414,6409.75,628085.5,,1.848,0.001,366133.55,0.059,405.509,0.123,6160937.45,"Pipeline Natural Gas",,"Cell burner boiler",,"Low NOx Cell Burner",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"2",20,"CS0EBN",2022,7162,7157,601341.25,,1.817,0.001,359991.225,0.059,386.824,0.1205,6057441.75,"Pipeline Natural Gas",,"Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT10",21,,2022,507,433,24420.25,,1.668,0.008,22715.893,0.1224,14.605,0.0877,325402.025,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT2",22,,2022,48,36.75,1719.75,,0.242,0.014,1897.403,0.1828,1.109,0.0924,23823.625,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT3",23,,2022,128,114.25,6337.25,,1.243,0.0236,6441.993,0.0993,3.946,0.088,86334.7,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT4",24,,2022,233,208.75,11852.25,,1.061,0.0109,10970.594,0.096,7.239,0.0909,158924.425,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT5",25,,2022,108,88.5,4705.5,,0.061,0.0029,4120.697,0.2402,2.393,0.083,60481.425,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT6",26,,2022,293,255,14349.75,,1.437,0.0128,13504.19,0.1094,8.49,0.0885,191017.675,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT7",27,,2022,338,300.25,17306.25,,1.176,0.0084,16054.407,0.0968,10.434,0.0889,232924.65,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT8",28,,2022,253,221.5,12731.5,,1.104,0.0101,12464.495,0.1145,8.514,0.0949,177179.95,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","Greene County",10,"CT9",29,,2022,66,53.25,2738.75,,0.391,0.0142,2980.404,0.153,1.87,0.0973,38464.05,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"1",30,"CS0CAN",2022,4106,4098.75,354361.75,,181.171,0.0813,228570.544,0.0619,227.762,0.1139,3647225.925,"Pipeline Natural Gas","Coal","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
"AL","E C Gaston",26,"2",31,"CS0CAN",2022,5074,5070.25,363743.5,,207.458,0.074,247125.106,0.0612,248.423,0.1096,3938951.575,"Pipeline Natural Gas","Coal","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Baghouse|Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
