State,Facility Name,Facility ID,Unit ID,unit_id,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
TN,John Sevier,3405,4,2265,CSJS34,2012,136,132.6,17695.46,,102.698,1.1363,17612.474,0.103,24.724,0.293,171664.37,Coal,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,John Sevier,3405,JCC1,90657,,2012,5480,5462.75,1241252.12,,2.567,0.001,508509.188,0.059,49.891,0.0128,8556428.173,Pipeline Natural Gas,Diesel Oil,Combined cycle,,Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,John Sevier,3405,JCC2,90658,,2012,5245,5218.4,1171959.6,,2.454,0.001,486023.993,0.059,48.087,0.0136,8178017.521,Pipeline Natural Gas,Diesel Oil,"Combined cycle (Started Jan 16, 2012)",,Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,John Sevier,3405,JCC3,90659,,2012,5164,5139.52,1159739.58,,2.4,0.001,475421.093,0.059,45.272,0.0126,7999422.315,Pipeline Natural Gas,Diesel Oil,"Combined cycle (Started Jan 28, 2012)",,Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,1,2266,CSJO10,2012,5677,5668.57,473536.65,,2198.664,0.8748,524118.895,0.104,569.985,0.2275,5038390.479,Coal,,Tangentially-fired,,Selective Non-catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,10,2267,CSJO10,2012,1825,1821.44,169847.58,,975.9,1.1272,176788.71,0.104,237.418,0.2787,1699485.775,Coal,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,2,2268,CSJO10,2012,7358,7345.44,600989.82,,2889.4,0.9074,665475.026,0.104,723.446,0.2278,6397263.571,Coal,,Tangentially-fired,,,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,3,2269,CSJO10,2012,7427,7420.46,653840.32,,3125.346,0.9,728246.698,0.104,773.051,0.2238,7000696.471,Coal,,Tangentially-fired,,,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,4,2270,CSJO10,2012,8348,8341.62,707502.89,,3383.531,0.8963,793018.723,0.104,837.227,0.2229,7623349.011,Coal,,Tangentially-fired,,Selective Non-catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,5,2271,CSJO10,2012,4493,4485.16,356544.31,,1696.959,0.9265,382127.749,0.104,439.938,0.2414,3673427.18,Coal,,Tangentially-fired,,,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,6,2272,CSJO10,2012,3531,3523.4,289309.22,,1357.436,0.9135,309543.264,0.104,359.136,0.2432,2975667.438,Coal,,Tangentially-fired,,,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,7,2273,CSJO10,2012,530,527.37,49205.86,,349.668,1.3655,53139.508,0.104,76.565,0.2994,510835.249,Coal,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,8,2274,CSJO10,2012,714,711.62,59040.71,,418.068,1.3483,63407.585,0.104,88.99,0.2891,609544.298,Coal,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
