"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2013,643,640.5,37131.25,,169.81,0.9119,37138.214,0.103,78.376,0.4316,361971.025,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"2",2,"CS0AAN",2013,1420,1414.25,86837.5,,318.997,0.7755,81531.04,0.103,158.319,0.3926,794655.425,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"3",3,"CS0AAN",2013,3395,3389.5,488931,,2603.775,1.0287,506513.447,0.103,1242.729,0.5067,4936785.475,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"4",4,"MS4A, MS4B",2013,7364,7351.75,1756230.75,,10042.641,0.9473,2148602.575,0.103,3069.099,0.2976,20941526.2,"Coal","Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"5",5,"MS5C, MS5D, MS5E",2013,5729,5714,3131988.75,,295.689,0.022,3129328.45,0.103,1198.786,0.0823,30500248.75,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"6A",6,,2013,8287,8266,2069717.75,,4.342,0.001,860178.1,0.059,66.795,0.0099,14474178.1,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"6B",7,,2013,8384,8368,2228850.5,,4.458,0.001,882998.1,0.059,54.469,0.0079,14858140.35,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"7A",8,,2013,8011,7997.5,2106652.25,,4.212,0.001,834352.625,0.059,58.762,0.0089,14039552.475,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"7B",9,,2013,7636,7625.25,1857372.25,,3.954,0.001,783167.65,0.059,49.881,0.0082,13178320.25,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Gadsden",7,"1",11,"CS0BAN",2013,5385,5376.25,,1303555.5,895.199,0.9773,123683.921,0.0756,229.575,0.2659,1592640,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,,"Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Gadsden",7,"2",12,"CS0BAN",2013,3474,3469.5,,864700,630.519,1.0326,88343.454,0.0768,184.743,0.3108,1131113.575,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,,"Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Gorgas",8,"10",13,"CS0DCN",2013,4788,4775.25,2860910.25,,506.292,0.0359,2803632.607,0.103,2064.786,0.1552,27325888.45,"Coal","Diesel Oil","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
