"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"MI","Renaissance Power",55402,"CT4",4677,,2012,751,692.23,105819.81,,0.346,0.001,68605.364,0.059,26.611,0.0506,1154397.699,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"LA","Carville Energy Center",55404,"COG01",4678,,2012,7198,7075.64,1603164.75,,3.632,0.001,719533.442,0.059,195.047,0.0338,12107556.371,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"LA","Carville Energy Center",55404,"COG02",4679,,2012,6623,6480.22,1522761.64,,3.514,0.001,696018.733,0.059,187.927,0.0336,11711822.42,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"NY","Athens Generating Company",55405,"1",8542,,2012,4955,4921.85,1561235.04,,3.202,0.001,634232.047,0.059,40.542,0.0096,10672138.485,"Pipeline Natural Gas","Diesel Oil","Combined cycle",,"Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI"
"NY","Athens Generating Company",55405,"2",8544,,2012,6948,6913,2281571.52,,4.612,0.001,913603.255,0.059,55.707,0.0088,15373172.173,"Pipeline Natural Gas","Diesel Oil","Combined cycle",,"Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI"
"NY","Athens Generating Company",55405,"3",8546,,2012,6042,6011.25,2005896.77,,4.049,0.001,802051.037,0.059,54.989,0.0101,13496086.012,"Pipeline Natural Gas","Diesel Oil","Combined cycle",,"Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI"
"GA","Bobby C. Smith Jr. Energy Facility",55406,"1",4680,,2012,5137,4874.75,752775,,2.485,0.001,492305.675,0.059,49.259,0.0191,8283935.325,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIRSO2"
"GA","Bobby C. Smith Jr. Energy Facility",55406,"2",4681,,2012,5538,5330.75,843731.5,,2.725,0.001,539766.775,0.059,50.433,0.0189,9082653.9,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIRSO2"
"AL","Calhoun Generating Facility",55409,"CT1",4688,,2012,373,332.98,50481.27,,0.153,0.001,30341.904,0.0593,9.229,0.0454,510237.251,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Calhoun Generating Facility",55409,"CT2",4689,,2012,302,270.58,40684.45,,0.13,0.001,25651.456,0.0592,7.325,0.0419,431316.61,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Calhoun Generating Facility",55409,"CT3",4690,,2012,333,298.65,45002.82,,0.144,0.001,28280.592,0.0596,8.146,0.0433,474046.102,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Calhoun Generating Facility",55409,"CT4",4691,,2012,414,368.88,55346.81,,0.184,0.001,36279.75,0.0593,10.449,0.0429,609615.155,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Hillabee Energy Center",55411,"CT1",4695,,2012,7319,7313.47,1630522.79,,5.349,0.001,1059574.848,0.059,77.286,0.0089,17829368.572,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Hillabee Energy Center",55411,"CT2",4696,,2012,7285,7266.32,1648830.5,,5.37,0.001,1063751.64,0.059,80.732,0.0095,17899615.999,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"FL","Osprey Energy Center",55412,"CT1",8548,,2012,7190,7091.34,1682346.46,,3.645,0.001,721974.8,0.059,71.216,0.0119,12148553.774,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"FL","Osprey Energy Center",55412,"CT2",8550,,2012,6657,6442.63,1520345.24,,3.276,0.001,648984.754,0.059,62.383,0.0118,10920344.769,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"FL","Shady Hills",55414,"GT101",4697,,2012,2083,1873.13,284471.8,,0.893,0.001,175209.234,0.059,46.879,0.0387,2948060.872,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"FL","Shady Hills",55414,"GT201",4698,,2012,1757,1568.88,236614.39,,0.749,0.001,146953.789,0.059,40.315,0.0406,2472645.077,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"FL","Shady Hills",55414,"GT301",4699,,2012,1960,1754.51,259983.09,,0.855,0.001,167410.451,0.059,45.277,0.0398,2816806.034,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"FL","Vandolah Power Project",55415,"GT101",4700,,2012,1187,1023.5,159754.94,,3.839,0.0048,97124.646,0.0591,28.192,0.0503,1631943.699,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"FL","Vandolah Power Project",55415,"GT201",4701,,2012,1082,922.21,145026.84,,0.496,0.0012,86996.126,0.059,26.172,0.051,1463836.969,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"FL","Vandolah Power Project",55415,"GT301",4702,,2012,824,708.98,111426.32,,0.387,0.0014,67584.421,0.059,19.742,0.0522,1137240.841,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"FL","Vandolah Power Project",55415,"GT401",4703,,2012,940,803.49,125636.33,,0.441,0.0013,75770.828,0.059,21.913,0.0486,1274973.969,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"IL","Raccoon Creek Power Plant",55417,"CT-01",9216,,2012,134,116.16,6379.99,,0.023,0.001,4601.211,0.0591,1.151,0.0294,77432.081,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"IL","Raccoon Creek Power Plant",55417,"CT-02",9217,,2012,100,84.35,4883.95,,0.018,0.001,3493.14,0.0591,0.768,0.0249,58783.473,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"IL","Raccoon Creek Power Plant",55417,"CT-03",9218,,2012,112,93.7,5435.38,,0.02,0.001,3881.28,0.0591,0.883,0.0266,65308.798,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"IL","Raccoon Creek Power Plant",55417,"CT-04",9219,,2012,88,75.61,4200.21,,0.016,0.001,3076.101,0.059,0.754,0.0286,51763.293,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AR","Hot Spring Energy Facility",55418,"CT-1",4705,,2012,1250,1151.91,274378.41,,0.583,0.001,115396.187,0.0591,14.377,0.0308,1941787.455,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIROS"
"AR","Hot Spring Energy Facility",55418,"CT-2",4706,,2012,1136,1057.64,263242.76,,0.559,0.001,110758.467,0.059,12.595,0.0273,1863707.861,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIROS"
"LA","Plaquemine Cogen Facility",55419,"500",4709,,2012,7838,7827.63,2492611.33,,2.397,0,841376.096,0.0552,111.648,0.0149,15267313.214,"Natural Gas","Other Gas, Process Gas","Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"LA","Plaquemine Cogen Facility",55419,"600",4710,,2012,7315,7307.44,2314814.68,,2.236,0,790126.249,0.0552,110.026,0.0156,14315692.48,"Natural Gas","Other Gas, Process Gas","Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"LA","Plaquemine Cogen Facility",55419,"700",4711,,2012,7772,7754.17,2469652.63,,2.297,0,813078.197,0.0544,108.567,0.0147,14950311.228,"Natural Gas","Other Gas, Process Gas","Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"LA","Plaquemine Cogen Facility",55419,"800",4712,,2012,8412,8401.04,2630337.55,,2.545,0,889110.391,0.0543,116.423,0.0144,16368478.248,"Natural Gas","Other Gas, Process Gas","Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"FL","Desoto County Energy Park",55422,"CT1",4723,,2012,1146,1059.75,155246.5,,0.26,0.0008,94448.95,0.0591,24.93,0.0408,1589240.575,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Water Injection|Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"FL","Desoto County Energy Park",55422,"CT2",4724,,2012,1091,1028.25,151732.25,,0.596,0.0016,93006.825,0.0591,25.615,0.0409,1564443.575,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Dry Low NOx Burners|Water Injection",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"LA","Bayou Cove Peaking Power Plant",55433,"CTG-1",8562,,2012,643,559.89,32787.06,,0.125,0.001,24669.29,0.0591,4.914,0.0293,415102.211,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"LA","Bayou Cove Peaking Power Plant",55433,"CTG-2",8564,,2012,464,395.1,25682.24,,0.094,0.001,18662.629,0.0591,3.984,0.0308,314038.54,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"LA","Bayou Cove Peaking Power Plant",55433,"CTG-3",8566,,2012,601,514.61,31480.95,,0.117,0.001,23229.298,0.0591,4.634,0.0292,390883.458,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"LA","Bayou Cove Peaking Power Plant",55433,"CTG-4",8568,,2012,747,656.56,39789.31,,0.149,0.001,29475.862,0.0591,5.839,0.0279,495995.013,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"IL","Elgin Energy Center, LLC",55438,"CT01",4751,,2012,253,228.7,23944.2,,0.081,0.001,15957.625,0.059,8.371,0.0731,268523.468,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"IL","Elgin Energy Center, LLC",55438,"CT02",4752,,2012,198,177.41,18830.83,,0.063,0.001,12561.757,0.059,6.446,0.0708,211367.546,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"IL","Elgin Energy Center, LLC",55438,"CT03",4753,,2012,404,365.92,38454.36,,0.131,0.001,25991.74,0.059,15.316,0.0806,437372.463,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"IL","Elgin Energy Center, LLC",55438,"CT04",4754,,2012,382,345.56,37140.82,,0.124,0.001,24622.748,0.059,15.046,0.0822,414323.354,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
